numero,nom_complet,fichier_photo,url_photo,taille_ko
51,"Thierry Benoit","051_Thierry_Benoit.png","https://datan.fr/assets/imgs/deputes_original/depute_332228.png","169.34"
52,"Christophe Bentz","052_Christophe_Bentz.png","https://datan.fr/assets/imgs/deputes_original/depute_794434.png","169.34"
53,"Fanta Berete","053_Fanta_Berete.png","https://datan.fr/assets/imgs/deputes_nobg/depute_721828.png","22.11"
54,"Anne Bergantz","054_Anne_Bergantz.png","https://datan.fr/assets/imgs/deputes_original/depute_805166.png","84.21"
55,"Aurore Bergé","055_Aurore_Bergé.png","https://datan.fr/assets/imgs/deputes_original/depute_722046.png","169.34"
56,"Denis Bernaert","056_Denis_Bernaert.png","https://datan.fr/assets/imgs/deputes_nobg/depute_795572.png","15.17"
57,"Ugo Bernalicis","057_Ugo_Bernalicis.png","https://datan.fr/assets/imgs/deputes_original/depute_720430.png","169.34"
58,"Philippe Berta","058_Philippe_Berta.png","https://datan.fr/assets/imgs/deputes_nobg/depute_719488.png","17.37"
59,"Pierrick Berteloot","059_Pierrick_Berteloot.png","https://datan.fr/assets/imgs/deputes_nobg/depute_794522.png","13.64"
60,"Hervé Berville","060_Hervé_Berville.png","https://datan.fr/assets/imgs/deputes_original/depute_719218.png","169.34"
61,"Véronique Besse","061_Véronique_Besse.png","https://datan.fr/assets/imgs/deputes_original/depute_309643.png","169.34"
62,"Christophe Bex","062_Christophe_Bex.png","https://datan.fr/assets/imgs/deputes_original/depute_793772.png","169.34"
63,"Bruno Bilde","063_Bruno_Bilde.png","https://datan.fr/assets/imgs/deputes_original/depute_720822.png","169.34"
64,"Carlos Martens Bilongo","064_Carlos_Martens_Bilongo.png","https://datan.fr/assets/imgs/deputes_original/depute_795616.png","169.34"
65,"Emmanuel Blairy","065_Emmanuel_Blairy.png","https://datan.fr/assets/imgs/deputes_original/depute_720668.png","169.34"
