numero,nom_complet,civilite,nom,fichier_photo,url_photo,taille_ko
45,"Mme Belluco","Mme","Belluco","045_Belluco.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795362.jpg","28.06"
46,"Mme Belouassa-Cherifi","Mme","Belouassa-Cherifi","046_Belouassa-Cherifi.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841657.jpg","31.32"
47,"M. Bénard","M.","Bénard","047_Bénard.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/796106.jpg","27.94"
48,"M. Benbrahim","M.","Benbrahim","048_Benbrahim.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841315.jpg","28.12"
49,"M. Ben Cheikh","M.","Ben Cheikh","049_Ben_Cheikh.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795454.jpg","55.90"
50,"M. Benoit","M.","Benoit","050_Benoit.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/332228.jpg","53.70"
51,"M. Bentz","M.","Bentz","051_Bentz.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/794434.jpg","27.66"
52,"Mme Bergantz","Mme","Bergantz","052_Bergantz.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/805166.jpg","9.50"
53,"M. Berger","M.","Berger","053_Berger.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/408578.jpg","27.19"
54,"M. Bernalicis","M.","Bernalicis","054_Bernalicis.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/720430.jpg","54.75"
55,"M. Bernhardt","M.","Bernhardt","055_Bernhardt.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841645.jpg","27.81"
56,"M. Berrios","M.","Berrios","056_Berrios.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/687214.jpg","27.77"
57,"M. Berville","M.","Berville","057_Berville.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/719218.jpg","30.66"
58,"Mme Besse","Mme","Besse","058_Besse.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/309643.jpg","29.47"
59,"M. Bex","M.","Bex","059_Bex.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793772.jpg","29.04"
60,"M. Bigot","M.","Bigot","060_Bigot.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/842001.jpg","28.40"
61,"M. Bilde","M.","Bilde","061_Bilde.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/720822.jpg","55.40"
62,"M. Bilongo","M.","Bilongo","062_Bilongo.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/795616.jpg","60.62"
63,"M. Biteau","M.","Biteau","063_Biteau.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/840997.jpg","30.05"
64,"M. Blairy","M.","Blairy","064_Blairy.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/720668.jpg","8.57"
65,"Mme Blanc","Mme","Blanc","065_Blanc.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/794886.jpg","58.72"
66,"M. Blanchard","M.","Blanchard","066_Blanchard.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/842183.jpg","8.36"
67,"M. Blanchet","M.","Blanchet","067_Blanchet.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/719024.jpg","28.56"
68,"Mme Blin","Mme","Blin","068_Blin.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/774954.jpg","54.47"
69,"M. Bloch","M.","Bloch","069_Bloch.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/840889.jpg","29.18"
70,"M. Boccaletti","M.","Boccaletti","070_Boccaletti.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/796042.jpg","28.46"
71,"M. Bolo","M.","Bolo","071_Bolo.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/720162.jpg","56.10"
72,"M. Bompard","M.","Bompard","072_Bompard.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793444.jpg","27.48"
73,"M. Bonnecarrère","M.","Bonnecarrère","073_Bonnecarrère.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/569.jpg","31.46"
74,"M. Bonnet","M.","Bonnet","074_Bonnet.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841885.jpg","26.47"
75,"M. Bonnet","M.","Bonnet","075_Bonnet.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841507.jpg","27.62"
76,"Mme Bonnet","Mme","Bonnet","076_Bonnet.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/719968.jpg","52.89"
77,"Mme Bonnivard","Mme","Bonnivard","077_Bonnivard.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/721410.jpg","57.54"
78,"M. Bony","M.","Bony","078_Bony.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/266793.jpg","55.24"
79,"Mme Bordes","Mme","Bordes","079_Bordes.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/793844.jpg","54.36"
80,"Mme Borne","Mme","Borne","080_Borne.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/717161.jpg","55.00"
81,"M. Bothorel","M.","Bothorel","081_Bothorel.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/642695.jpg","27.91"
82,"M. Boucard","M.","Boucard","082_Boucard.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/721816.jpg","54.92"
83,"M. Boudié","M.","Boudié","083_Boudié.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/606507.jpg","29.04"
84,"M. Boulogne","M.","Boulogne","084_Boulogne.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841487.jpg","27.29"
85,"M. Bouloux","M.","Bouloux","085_Bouloux.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/794094.jpg","53.50"
86,"M. Boumertit","M.","Boumertit","086_Boumertit.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/794938.jpg","28.78"
87,"Mme Bouquin","Mme","Bouquin","087_Bouquin.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/841131.jpg","30.98"
88,"M. Bourgeaux","M.","Bourgeaux","088_Bourgeaux.jpg","https://www2.assemblee-nationale.fr/static/tribun/17/photos/342240.jpg","53.17"
